순위,상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
75,9791193282038,S000212324362,우리에게 남은 시간 46일,"16,800","15,120",10%,5%,840,이설,하이스트,20240129,소설
76,9791130654621,S000214042676,푸른 들판을 걷다,"16,800","15,120",10%,5%,840,클레어 키건,다산책방,20240816,소설
77,9791193937136,S000213668980,나는 도대체 왜 피곤할까,"19,800","17,820",10%,5%,990,에이미 샤,북플레저,20240710,자기계발
78,9791193238363,S000214037177,지금 사랑한다고 말하세요,"18,000","16,200",10%,5%,900,김창옥,수오서재,20240902,자기계발
79,9791194184034,S000214096210,즐거운 어른,"16,800","15,120",10%,5%,840,이옥선,이야기장수,20240826,시/에세이
80,9791171010875,S000213799586,영어로 문장 만들기 훈련 1차 임계점,"22,000","19,800",10%,5%,"1,100",유은하,사람in,20240715,외국어
81,9791171712465,S000213920365,소맥거핀의 인체 친구들 1: 몸속 기관들의 대혼란,"14,800","13,320",10%,5%,740,소맥거핀,위즈덤하우스,20240731,어린이(초등)
82,9791172882167,S000214081753,타키 포오 얼렁뚱땅 상식스쿨 4,"14,000","12,600",10%,5%,700,김언정,대원키즈,20240820,어린이(초등)
83,9788901281797,S000212997383,빨모쌤의 라이브 영어회화,"22,000","19,800",10%,5%,"1,100",신용하,웅진지식하우스,20240729,외국어
84,9791189352745,S000211654427,내가 한 말을 내가 오해하지 않기로 함,"19,800","17,820",10%,5%,990,문상훈,위너스북,20240105,시/에세이
85,9791193282113,S000213383086,석가모니 인생수업: 석가모니가 세상에 남긴 삶의 지혜,"17,500","15,750",10%,5%,870,석가모니,하이스트,20240524,인문
86,9791189327156,S000001925800,물고기는 존재하지 않는다,"17,000","15,300",10%,5%,850,룰루 밀러,곰출판,20211217,과학
87,9791172032951,S000214153672,탁주 쪼꼬 탈출 게임 2,"14,500","13,050",10%,5%,720,탁주쪼꼬,대원키즈,20240829,어린이(초등)
88,9791171712441,S000213920360,소맥거핀 일상 만화 1,"14,000","12,600",10%,5%,700,소맥거핀,위즈덤하우스,20240731,어린이(초등)
89,9791172882686,S000214156524,열혈강호 91,"5,500","4,950",10%,5%,270,전극진,대원씨아이,20240831,만화
90,9788983711892,S000001290624,코스모스,"19,900","17,910",10%,5%,990,칼 세이건,사이언스북스,20100120,과학
91,9791155815915,S000201435180,부자의 언어(2025 부의 시크릿 카드 에디션),"19,800","17,820",10%,5%,990,존 소포릭,윌북,20241121,경제/경영
92,9791198682505,S000212647841,나를 소모하지 않는 현명한 태도에 관하여,"17,800","16,020",10%,5%,890,마티아스 뇔케,퍼스트펭귄,20240310,자기계발
93,9788934920892,S000213766661,가벼운 고백,"18,800","16,920",10%,5%,940,김영민,김영사,20240710,시/에세이
94,9788917235944,S000000450452,토익 단기공략 750+(LC+RC),"18,000","16,200",10%,5%,900,ETS,YBM,20200820,외국어
95,9788936434595,S000000610650,채식주의자,"15,000","13,500",10%,5%,750,한강,창비,20220328,소설
96,9791158883591,S000001772245,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"17,000","15,300",10%,5%,850,로버트 기요사키,민음인,20221028,경제/경영
97,9791193937143,S000213799640,호감의 시작(트윙클 에디션),"18,500","16,650",10%,5%,920,희렌최,북로망스,20240723,자기계발
98,9791141103835,S000208698794,"안녕, 에리","6,000","5,400",10%,5%,300,후지모토 타츠키,학산문화사,20230825,만화
99,9791193866146,S000214014960,철학의 쓸모,"18,800","16,920",10%,5%,940,로랑스 드빌레르,피카(FIKA),20240820,인문
100,9791136790835,S000214125093,괴수 8호 13,"6,000","5,400",10%,5%,300,Naoya Matsumoto,서울미디어코믹스(서울문화사),20240903,만화
101,9788917237481,S000200524493,ETS 토익기출 파트별 VOCA,"13,000","11,700",10%,5%,650,ETS,YBM,20221223,외국어
102,9788934942467,S000201932024,총 균 쇠,"29,800","26,820",10%,5%,"1,490",재레드 다이아몬드,김영사,20230511,역사/문화
103,9791194033127,S000213921185,더 좋은 문장을 쓰고 싶은 당신을 위한 필사책,"22,000","19,800",10%,5%,"1,100",이주윤,빅피시,20240807,인문
104,9788937460586,S000000620195,싯다르타,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20020120,소설
105,9791191521382,S000214032214,대한경제부흥회,"19,000","17,100",10%,5%,950,이광수 외,지와인,20240905,경제/경영
106,9791171180219,S000213492719,디즈니 픽사 인사이드 아웃 2 무비동화,"12,000","10,800",10%,5%,600,에린 팰리갠트,애플비북스,20240615,유아(0~7세)
107,9788965424215,S000001020289,해커스 일본어 첫걸음: 기초20일 독학 완성!,"13,900","12,510",10%,5%,690,해커스 일본어연구소,해커스어학연구소,20240507,외국어
108,9791161571188,S000001803157,불편한 편의점(벚꽃 에디션),"14,000","12,600",10%,5%,700,김호연,나무옆의자,20210420,소설
109,9788932473901,S000000576524,이기적 유전자,"20,000","18,000",10%,5%,"1,000",리처드 도킨스,을유문화사,20230130,과학
