순번/순위	구분	상품명	ItemId	ISBN13	부가기호	저자/아티스트	출판사/제작사	출간일	정가	판매가	마일리지	세일즈포인트	대표분류(대분류명)
885	국내도서	소크라테스 익스프레스	270253933	9.79E+12	3100	에릭 와이너 지음, 김하현 옮김	어크로스	20210428	18,000	16,200	900점	36662	인문학
886	국내도서	나는 마음이 아픈 의사입니다	253131601	9.79E+12	3180	조안나 캐넌 지음, 이은선 옮김	라이프앤페이지	20201020	5,500	4,950	270점	2634	인문학
887	국내도서	집단상담의 실제	185980530	9.79E+12	93180	강진령 지음	학지사	20190225	23,000	22,770	460점	4969	대학교재/전문서적
888	국내도서	2025 신광은 형사소송법 기출총정리 1 : 수사·증거	346923376	9.79E+12	13350	신광은 지음	느루(미래인재컴퍼니)	20240913	33,000	31,350	1,650점	6525	수험서/자격증
889	국내도서	자유	345795329	9.79E+12	3840	레아 이피 지음, 오숙은 옮김	열린책들	20240905	19,800	17,820	990점	1910	에세이
890	국내도서	사이먼 가라사대, 우리는 모두 별이다	344695360	9.79E+12	73840	에린 보우 지음, 천미나 옮김	밝은미래	20240808	17,500	15,750	870점	3915	어린이
891	국내도서	마음을 보내려는 마음	344549273	9.79E+12	3810	박연준 지음	창비	20240816	14,000	12,600	700점	5315	에세이
892	국내도서	단식 존엄사	343296781	9.79E+12	3300	비류잉 지음, 채안나 옮김	글항아리	20240719	16,800	15,120	840점	9805	에세이
893	국내도서	마법천자문 63	343116459	9.79E+12	77720	스튜디오 훈훈 지음, 정수영 그림, 강용철 감수	아울북	20240717	15,800	14,220	790점	12984	어린이
894	국내도서	도시와 그 불확실한 벽 (북꾸 에디션)	342335560	9.79E+12	3830	무라카미 하루키 지음, 홍은주 옮김	문학동네	20230906	19,500	17,550	970점	170155	소설/시/희곡
895	국내도서	슈뻘맨의 숨은 과학 찾기 4	341211894	9.79E+12	77400	류수형 그림, 서후 글, 샌드박스 네트워크 외 감수, 슈뻘맨 원작	미래엔아이세움	20240619	15,000	13,500	750점	12217	어린이
896	국내도서	원가관리회계 (백태영)	332883165	9.79E+12		백태영 지음	신영사	20240124	40,000	39,600	800점	1876	대학교재/전문서적
897	국내도서	명품 HTML5+CSS3+Javascript 웹 프로그래밍	288358868	9.79E+12	93000	황기태 지음	생능	20220210	30,000	30,000	900점	3939	컴퓨터/모바일
898	국내도서	브로콜리지만 사랑받고 싶어	285011341	9.79E+12	77810	별다름.달다름 지음, 서영 그림	키다리	20211213	14,000	12,600	700점	11742	유아
899	국내도서	어린 왕자 (오리지널 초판본)	252131852	9.79E+12	3860	앙투안 드 생텍쥐페리 지음, 김수영 옮김, 변광배 해설	코너스톤	20200922	3,300	2,970	160점	15623	소설/시/희곡
900	국내도서	진로상담의 이론과 실제	190509359	9.79E+12	93180	김봉환 지음	학지사	20190420	20,000	19,800	400점	4587	대학교재/전문서적
901	국내도서	카라마조프 가의 형제들 세트 - 전3권	20908390	9.79E+12	14800	표도르 도스토옙스키 지음, 김연경 옮김	민음사	20121106	26,000	23,400	1,300점	25960	소설/시/희곡
902	국내도서	태쁘의 퇴마부 시즌2 - 2	346695315	9.79E+12	77810	이소연 그림, 김혜련 글, 샌드박스 네트워크 감수, 태쁘 원작	겜툰	20240925	13,000	11,700	650점	2620	어린이
903	국내도서	인생 어휘	345794112	9.79E+12	3140	이승훈 지음	사계절	20240830	19,800	17,820	990점	2520	인문학
904	국내도서	바람공방의 페어아일 니팅	344999012	9.79E+12	13590	바람공방 지음, 배혜영 옮김	한즈미디어(한스미디어)	20240819	24,000	21,600	1,200점	4210	건강/취미
905	국내도서	2025 해커스공무원 매일 하프모의고사 국어 1 (9급 공무원)	342149719	9.79E+12	13710	해커스 공무원시험연구소 지음	해커스공무원	20240701	16,000	15,200	160점	5619	수험서/자격증
906	국내도서	발달심리학 (신명희 외)	335852080	9.79E+12	93180	신명희 외 지음	학지사	20240229	30,000	29,700	600점	2897	대학교재/전문서적
907	국내도서	불교수업	334495003	9.79E+12	3220	동국대학교 건학위원회 지음	동국대학교출판부	20240216	13,000	12,090	390점	2260	대학교재/전문서적
908	국내도서	총 균 쇠 (양장)	321118369	9.79E+12	3900	제레드 다이아몬드 지음, 강주헌 옮김	김영사	20230810	35,800	32,220	1,790점	15360	인문학
909	국내도서	월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판)	296379470	9.79E+12	3320	너나위 지음	알에이치코리아(RHK)	20220620	19,800	17,820	990점	29833	경제경영
910	국내도서	스토너	51001915	9.79E+12	3840	존 윌리엄스 지음, 김승욱 옮김	알에이치코리아(RHK)	20150102	16,800	15,120	840점	31350	소설/시/희곡
911	국내도서	우리는 언제나 희망하고 있지 않나요	346451141	9.79E+12	3840	버지니아 울프 지음, 박신현 옮김	북다	20240909	18,000	16,200	900점	2855	에세이
912	국내도서	토끼와 흑표범의 공생관계 6 (한정판)	346280644	9.79E+12	4810	사담 지음, 야식먹는중 원작, 목인 각색	에이템포미디어	20240906	26,500	23,850	1,320점	1490	만화
913	국내도서	사라진 근대사 100장면 2 : 반동의 시대	346107584	9.79E+12	3910	박종인 지음	와이즈맵	20240915	19,800	17,820	990점	4130	역사
914	국내도서	좋은 경제학 나쁜 경제학	345987688	9.79E+12	3320	앵거스 디턴 지음, 안현실.정성철 옮김	한국경제신문	20240909	23,000	20,700	1,150점	2925	경제경영
915	국내도서	이 결혼은 어차피 망하게 되어 있다 5	345734065	9.79E+12	7810	청과 그림, 김차차 원작, 초캄 각색	영컴(YOUNG COM)	20240828	15,000	13,500	750점	2640	만화
916	국내도서	대저택의 돈 버는 건 개고생	345484852	9.79E+12	77810	권수영 그림, 김지균 글, 집사TV 원작	서울문화사	20240828	14,000	12,600	700점	2635	어린이
917	국내도서	돈의 뇌과학	345358525	9.79E+12	3320	우에하라 치카코 지음, 오정화 옮김	동양북스(동양문고)	20240821	18,000	16,200	900점	2430	경제경영
918	국내도서	내세에는 남남이 좋겠어 8	343134240	9.79E+12	7830	코니시 아스카 지음, 박소현 옮김	㈜소미미디어	20240730	6,000	5,400	300점	10643	만화
919	국내도서	인터뷰하는 법	342537007	9.79E+12	3600	장은교 지음	터틀넥프레스	20240715	19,000	17,100	950점	7711	예술/대중문화
920	국내도서	놓지 마 과학! 19	341558379	9.79E+12	77400	신태훈.나승훈 글.그림, 홍훈기 감수	위즈덤하우스	20240626	14,000	12,600	700점	13106	어린이
921	국내도서	늪 100층짜리 집	336693742	9.79E+12	74830	이와이 도시오 지음, 김숙 옮김	북뱅크	20240503	15,000	13,500	750점	16890	유아
922	국내도서	Glow 글로우	336264039	9.79E+12	77440	노엘리아 곤살레스 지음, 사라 보카치니 메도스 그림, 고정아 옮김, 심채경 감수	FIKAJUNIOR(피카주니어)	20240420	19,800	17,820	990점	9651	과학
923	국내도서	2024 수제비 정보처리기사 실기 1권+2권 합본세트 - 전2권	335144500	9.79E+12	14000	윤영빈 외 지음	건기원	20240315	40,000	36,000	2,000점	10817	컴퓨터/모바일
924	국내도서	왜 나는 너를 사랑하는가 (70만 부 기념 리커버)	304662591	9.79E+12	3840	알랭 드 보통 지음, 정영목 옮김	청미래	20221110	14,000	12,600	700점	15755	소설/시/희곡
925	국내도서	군주론 (무삭제 완역본)	276097060	9.79E+12	3160	니콜로 마키아벨리 지음, 김운찬 옮김	현대지성	20210726	7,700	6,930	380점	21458	사회과학
926	국내도서	오롯이 내 인생이잖아요 (친필 사인본)	347965031		3810	장명숙.이경신 지음	김영사	20240828	18,000	16,200	900점	14815	에세이
927	국내도서	서평 쓰기, 저만 어려운가요?	346795717	9.79E+12	3800	김민영.류경희 지음	엑스북스(xbooks)	20240913	15,000	13,500	750점	3230	인문학
928	국내도서	2025 SO NICE 소방관계법규 기출문제집	346254602	9.79E+12	13350	백소나 지음	더나은	20240902	36,000	32,400	1,800점	2095	수험서/자격증
929	국내도서	패러독스 마인드셋	345367362	9.79E+12	3190	웬디 K. 스미스.메리앤 W. 루이스 지음, 엄성수 옮김	상상스퀘어	20240821	22,000	19,800	1,100점	1935	경제경영
930	국내도서	김대중 육성 회고록 (양장)	344477987	9.79E+12	3340	연세대학교 김대중도서관 지음	한길사	20240812	33,000	29,700	1,650점	9915	사회과학
931	국내도서	죽기 전에 꼭 가봐야 할 인생 여행지	343606475	9.79E+12	3910	킴스트래블 지음	용감한까치	20240730	28,500	25,650	1,420점	5075	여행
932	국내도서	챔피언처럼 생각하고 거래하라	342991725	9.79E+12	3320	마크 미너비니 지음, 송미리 옮김, 김대현 감수	이레미디어	20240815	25,000	22,500	1,250점	13323	경제경영
933	국내도서	융합적 사고와 창의적 글쓰기	333719210	9.79E+12	3700	경기대학교 사고와 표현 교재편찬위원회 지음	휴먼싸이언스	20240229	20,000	20,000	1,000점	1364	대학교재/전문서적
934	국내도서	바다가 들리는 편의점	313996770	9.79E+12	3830	마치다 소노코 지음, 황국영 옮김	모모	20230324	16,000	14,400	800점	38240	소설/시/희곡
935	국내도서	인생의 역사	303286149	9.79E+12	3810	신형철 지음	난다	20221031	18,000	16,200	900점	31138	에세이
936	국내도서	한국이 싫어서	59713793	9.79E+12	4810	장강명 지음	민음사	20150508	14,000	12,600	700점	14165	소설/시/희곡
937	국내도서	나를 돌보기 위해 정리를 시작합니다	347627090	9.79E+12	3190	정코(정리마켓) 지음	비즈니스북스	20240927	18,000	16,200	900점	5940	자기계발
938	국내도서	망각 배터리 14	346682703	9.79E+12	47830	Eko Mikawa 지음, 유유리 옮김	서울미디어코믹스(서울문화사)	20240910	6,000	5,400	300점	1685	만화
939	국내도서	바니타스의 수기 11	346455328	9.79E+12	7830	모치즈키 준 지음	대원씨아이(만화)	20240909	6,000	5,400	300점	1860	만화
940	국내도서	2025 권규호 공무원 국어 독해.논리 강훈련	346230518	9.79E+12	13700	권규호 지음	권규호언어연구실	20240905	23,000	20,700	1,150점	5150	수험서/자격증
941	국내도서	빠르게 생각하고 똑똑하게 말하라	346188880	9.79E+12	3190	맷 에이브러햄스 지음, 진정성 옮김	웨일북	20240910	19,000	17,100	950점	7330	자기계발
942	국내도서	밤이 영원할 것처럼	345912482	9.79E+12	3810	서유미 지음	문학동네	20240830	16,000	14,400	800점	3230	소설/시/희곡
943	국내도서	오케이 다시 한번 해볼게요	344991661	9.79E+12	3810	박여름 지음	히읏	20240819	16,900	15,210	840점	3900	에세이
944	국내도서	2025 심우철 하프 모의고사 Season 1	342408825	9.79E+12	13740	심우철 지음	심슨북스	20240704	13,000	11,700	650점	6742	수험서/자격증
945	국내도서	2025 심슨 문법	339005251	9.79E+12	13740	심우철 지음	심슨북스	20240509	16,000	14,400	800점	8150	수험서/자격증
946	국내도서	몰입 확장판	338508992	9.79E+12	3320	황농문 지음	알에이치코리아(RHK)	20240501	25,000	22,500	1,250점	13815	자기계발
947	국내도서	알사탕 제조법	336510844	9.79E+12	77810	백희나 지음	Storybowl(스토리보울)	20240321	10,000	9,000	500점	40025	유아
948	국내도서	컨셉 수업	332793115	9.79E+12	3320	호소다 다카히로 지음, 지소연.권희주 옮김	알에이치코리아(RHK)	20240124	22,000	19,800	1,100점	24008	경제경영
949	국내도서	아비투스 (양장)	313961252	9.79E+12	3300	도리스 메르틴 지음, 배명자 옮김	다산초당(다산북스)	20230324	22,000	19,800	1,100점	27111	인문학
950	국내도서	사회복지실천기술의 이해	250559485	9.79E+12	93330	엄명용 외 지음	학지사	20200905	23,000	23,000	690점	3444	대학교재/전문서적
951	국내도서	꽃 모티프가 귀여운 니트 소품	49949465	9.79E+12	13590	료카이 가즈코 지음, 강수현 옮김	봄봄스쿨	20141220	4,400	3,960	220점	1284	건강/취미
952	국내도서	E=mc²	44299553	9.79E+12	3400	데이비드 보더니스 지음, 김희봉 옮김	웅진지식하우스	20140725	17,000	15,300	850점	13024	과학
953	국내도서	나는 성간 국가의 악덕 영주! 8	346282132	9.79E+12	4830	미시마 요무 지음, 타카미네 나다레 그림, 박정철 옮김	㈜소미미디어	20240911	11,000	9,900	550점	2020	소설/시/희곡
954	국내도서	싱코페이션	345911211	9.79E+12	4810	김선오 지음	도서출판 아시아	20240831	10,000	9,000	500점	2375	소설/시/희곡
955	국내도서	주님의 음성 2	345858260	9.79E+12	3230	두 명의 경청자 지음, 유정희 옮김	규장(규장문화사)	20240903	15,000	13,500	750점	2010	종교/역학
956	국내도서	프롬프트 엔지니어의 업무일지	344387842	9.79E+12	93000	강수진 지음	리코멘드	20240820	28,000	25,200	1,400점	4370	컴퓨터/모바일
957	국내도서	100배 주식 불변의 법칙	342390375	9.79E+12	3320	토머스 펠프스 지음, 김인정 옮김	에프엔미디어	20240710	20,000	18,000	1,000점	8795	경제경영
958	국내도서	나 혼자만 레벨업 11	339215933	9.79E+12	7810	장성락(REDICE STUDIO) 지음, 추공 원작, 현군 각색	디앤씨웹툰비즈	20240604	16,000	14,400	800점	13831	만화
959	국내도서	평범하여 찬란한 삶을 향한 찬사	338556829	9.79E+12		마리나 반 주일렌 지음, 박효은 옮김	FIKA(피카)	20240510	18,800	16,920	940점	15356	인문학
960	국내도서	2025 신광은 기본서 형소법 1 : 수사/증거	337384565	9.79E+12	13350	신광은 지음	느루(미래인재컴퍼니)	20240408	26,000	23,400	260점	9067	수험서/자격증
961	국내도서	고백의 언어들	337049185	9.79E+12	3230	김기석 지음	복있는사람	20240401	22,000	19,800	1,100점	16901	종교/역학
962	국내도서	고양이 해결사 깜냥 6	327565230	9.79E+12	73810	홍민정 지음, 김재희 그림	창비	20231027	12,000	10,800	600점	34114	어린이
963	국내도서	해커스 토익 실전 1000제 1 LC Listening(리스닝) 문제집	306666223	9.79E+12	13740	해커스어학연구소 지음	해커스어학연구소(Hackers)	20230605	11,900	10,710	590점	22377	외국어
964	국내도서	자유론	141071943	9.79E+12	4160	존 스튜어트 밀 지음, 서병훈 옮김	책세상	20180330	9,900	8,910	490점	17876	사회과학
965	국내도서	우리 아기 오감발달 알록달록 꽃밭 사운드북	105133987	8.81E+12	1	샘 태플린 지음, 페데리카 아이오사 그림	어스본코리아	20170308	19,000	15,200	570점	5499	유아
966	국내도서	죄와 벌 1	16211750	9.79E+12	4800	표도르 도스토예프스키 지음, 김연경 옮김	민음사	20120330	11,000	9,900	550점	19267	소설/시/희곡
967	국내도서	사과가 쿵! (보드북)	671113	9.79E+12	77830	다다 히로시 지음, 정근 옮김	보림	20060715	11,000	9,900	550점	44411	유아
968	국내도서	취향껏 살고 있습니다	346661949	9.79E+12	3810	지은 지음	상상출판	20240912	17,800	16,020	890점	1880	에세이
969	국내도서	2025 이기적 컴퓨터활용능력 1급 실기 기본서	345452913	9.79E+12	13000	박윤정 지음	영진.com(영진닷컴)	20240829	38,000	34,200	1,900점	4495	컴퓨터/모바일
970	국내도서	‘좋아하는 것’을 ‘잘하는 일’로 만드는 법칙	344543351	9.79E+12	3190	이헌주 지음	갈매나무	20240820	18,500	16,650	920점	3705	자기계발
971	국내도서	처음 위스키	343167766	9.79E+12	4590	CROSSROAD LAB 지음, 신찬 옮김	빚은책들	20240730	18,500	16,650	920점	2358	요리/살림
